vma,make,vmo,model,category
ARCC,Arctic Enterprises,,,Snowmobile
ARCO,Arcos Boat Trailer,,,Trailer
ARCT,"Arctic Enterprises, Inc.",,,Trailer
ARCT,Heavy Hauler,,,Trailer
ARCW,"Arcweld, Inc.",,,Trailer
ARDI,Ardie Motorcycles,,,Motorcycle
AREC,American Road Equipment,,,Trailer
ARGG,Argo,,,Motorcycle
ARGO,Argonaut State Limousine,,,Auto
ARGS,Argosy Travel Trailer,,,Trucks
ARGS,Argosy Travel Trailer,,,Trailer
ARGT,Argo Trailer Corp.,,,Trailer
ARIC,Aristocrat Trailer Sales,,,Trailer
ARIE,Ariel (British),,,Motorcycle
ARIE,Colt (model of Ariel),,,Motorcycle
ARII,"Aristocrat Industries, Inc.",,,Trailer
