vma,make,vmo,model,category
DAKO,"Dakota Mfg. Co., Inc.",,,Trailer
DAKO,Trail-Eze (old code TLZE),,,Trailer
DALE,Dalesman (United Kingdom),,,Motorcycle
DALI,"Dalton, Inc.",,,Trailer
DALT,"Dalton's Enterprises, Inc.",,,Trailer
DALW,"Dalewood Mfg. Co., Inc.",,,Trailer
DAMO,"Damon Inds., Inc.",,,Trailer
DANA,Dana Truck Mount Camper,,,Trailer
DANB,Danny Boy Trailer,,,Trailer
DANC,"Danco Trailers, Inc.",,,Trailer
DAND,"Dan Dee Inds., Inc.",,,Trailer
DANT,Dandy Mobile Homes,,,Trailer
DANT,"Dan's Trailer Supply, Inc.",,,Trailer
DANU,Danuvia,,,Motorcycle
DANZ,"Danzer/Morrison Inds., Inc.",,,Trucks
DANZ,"Danzer/Morrison Inds., Inc.",,,Trailer
DARB,Darby Inds.,,,Trailer
DARC,"Darcell Inds., Inc.",,,Trailer
DARF,Darf Corp.,,,Farm
DARG,Dargo Mfg.,,,Trailer
DART,Dart,,,Trailer
DARV,Darvon Double Trailer,,,Trailer
DARW,Darwin,,,Motorcycle
DATO,Daton,,,Farm
DATR,"Dart Truck Co., PACCAR, Inc.",,,Construction
DATS,Datsun,,,Trucks
DATS,Datsun,---,Sentra (see make Nissan),Auto
DATS,Datsun,110,110,Auto
DATS,Datsun,120,1200,Auto
DATS,Datsun,210,B-210 (or 210),Auto
DATS,Datsun,210,210 (or B-210),Auto
DATS,Datsun,24Z,240Z,Auto
DATS,Datsun,260,260Z,Auto
DATS,Datsun,280,280Z,Auto
DATS,Datsun,2SX,200SX,Auto
DATS,Datsun,2ZX,280ZX,Auto
DATS,Datsun,310,310,Auto
DATS,Datsun,311,311,Auto
DATS,Datsun,510,510,Auto
DATS,Datsun,610,610,Auto
DATS,Datsun,710,710,Auto
DATS,Datsun,720,720,Auto
DATS,Datsun,810,810,Auto
DATS,Datsun,F10,F-10,Auto
DATS,Datsun,HON,Honey Bee,Auto
DATS,Datsun,LIL,Li'L Hustler,Auto
DATS,Datsun,MAX,Maxima,Auto
DATS,Datsun,ROD,"Roadster 1500, 1600, 2000",Auto
DAUP,Dauphin,,,Snowmobile
DAVC,"Davenco, Inc.",,,Trailer
DAVD,David Mfg. Co.,,,Trailer
DAVE,"Dave Hicks Co., Inc.",,,Trailer
DAVI,Davis,,,Auto
DAVI,Davis Div. (for reference only; see LIGH),,,
DAVI,Davis Trencher (for reference only; see LIGH),,,
DAVI,Maxi-Sneaker (for reference only; see LIGH),,,
DAVI,Trimline (for reference only; see LIGH),,,
DAVK,"Da Vack Mfg., Corp.",,,Trailer
DAVM,"Davidson Enterprises, Inc.",,,Trailer
DAVN,Davenport Trailer or Mobile Home Co.,,,Trailer
DAVO,"Davron Traveler, Inc.",,,Trailer
DAVY,Davey Compressor Co.,,,Construction
DAWE,Dawes Products Co.,,,Trailer
DAWS,Dawson Enterprises,,,Trailer
DAYB,Commando,,,Farm
DAYB,Daybrook-Ottawa Div.,,,Farm
DAYO,Daytona,MIG,Migi,Auto
DAYO,Daytona,MOY,Moya,Auto
DAYS,Day's Drydock,,,Trailer
DAYT,Dayton Electric Mfg. Co.,,,Construction
DAYT,Speedaire,,,Construction
DAZN,"Dazon, Inc.",,,Motorcycle
DB,D.B.,,,
DB,D.B.,,,Auto
DBCK,Diamondback Trailer Manufacture,,,Trailer
DBCP,D & B Cycle Parts & Accessories,,,Motorcycle
DBDL,"Double Delight, Inc.",,,Trailer
DCAP,"Decap Trailer Mfg., Ltd.",,,Trailer
DCCS,Deep South Sales Co.,,,Trailer
DCHP,"Diamondback Choppers, LLC",,,Motorcycle
DCHW,Ditch Witch Trencher Trailer (for reference only; see DITC),,,
DCKS,"Dickson Industries, Inc.",,,Trailer
DCKS,"Dickson Industries, Inc.",,,Trailer
DCNT,Discount Trailers,,,Trailer
DCRG,"Diamond Cargo, Inc.",,,Trailer
DCTM,Discount Trailer Mfg.,,,Trailer
DCTR,Diamond City Trailer Mfg.,,,Trailer
DD,Double Horse Trailer,,,Trailer
DDCC,"DD Custom Cycles, LLC",,,Motorcycle
DDFB,D & D Fabrications,,,Trailer
DDTI,"D & D Trailer, Inc.",,,Trailer
DEAL,Deutz-Allis Corp.,,,Construction
DEAN,"Dean Inds., Inc.",,,Trailer
DEBE,Delaunay-Belleville or S.A. des Automobiles Delaunay-Belleville,,,Auto
DEBO,Debonair,,,Auto
DECA,"Decamp Homes, Inc.",,,Trailer
DECO,DeCourville,ROA,Roadster,Auto
DEDI,De Dion-Bouton,,,Auto
DEEP,Deep Sanderson,,,Auto
DEER,Deere & Co.,,,
DEER,"Deere, John",,,Farm
DEER,"Deere, John",,,Construction
DEER,"Deere, John, Trailer",,,Trailer
DEER,John Deere,,,Farm
DEER,John Deere,,,Construction
DEER,John Deere Trailer,,,Trailer
DEER,John Deere,,,Motorcycle
DEEZ,Dee Zee Mfg.,,,Trailer
DEGE,DeGeest Mfg. Co.,,,Trailer
DEGL,"Degelman Inds., Ltd. (Canada)",,,Farm
DEIC,Deico Auto Carrier Trailer,,,Trailer
DEKC,Dekco Mobile Mfg.,,,Trailer
DELA,"De-Lar, Inc.",,,Trailer
DELC,Delco Trailers,,,Trailer
DELG,Delage,D8,D8-100 & D8-120,Auto
DELH,"Delhi Metal Products, Ltd.",,,Trailer
DELL,Dellow,,,Auto
DELM,"Delmar Mfg. Co., Inc.",,,Trailer
DELN,Delavan Trailer,,,Trailer
DELO,"De Lorean (imported from Belfast, Northern Ireland, UK)",,,Auto
DELP,"Delphi Body Works, Inc.",,,Trailer
DELR,"Del Rey Inds., Inc.",,,Trailer
DELS,Delta Homes Corp.,,,Trailer
DELT,"Delta Truck Trailer Co., Inc.",,,Trailer
DELU,"Delto Homes, Inc.",,,Trailer
DELX,"Deluxe Homes, Inc.",,,Trailer
DEMC,Demo Horse Trailer,,,Trailer
DEMM,Demco,,,Trailer
DEMN,Demon Motorcycle Co. or Demon Choppers,,,Motorcycle
DEMP,Dempster,,,Trailer
DEMU,De Muth Steel Products Co.,,,Farm
DENA,"Denair Trailer Mfg., LLC",,,Trailer
DENC,Denco Manufacturing,,,Trailer
DENE,"Denver Trailer Supply, Inc.",,,Trailer
DENN,Dennison Utility Trailer,,,Trailer
DENZ,Denzel,,,Auto
DERB,Derbi Motor Corp.,,,Motorcycle
DERE,"De Rose Inds., Inc.",,,Trailer
DERE,Rembrook,,,Trailer
DERH,"Denzin & Rahn Mfg. Co., Inc.",,,Trailer
DERH,Derco Utility Trailer,,,Trailer
DERS,"Deerskin Mfg., Inc.",,,Trailer
DESA,De Soto Coach Co.,,,Trailer
DESG,"Design Intennt, Inc.",,,Trailer
DESG,Mobile Sign,,,Trailer
DESI,Design Structures,,,Trailer
DESO,DeSoto,ADV,Adventurer,Auto
DESO,DeSoto,CUS,Custom,Auto
DESO,DeSoto,DEL,Deluxe,Auto
DESO,DeSoto,FRD,Firedom,Auto
DESO,DeSoto,FRF,Firelite,Auto
DESO,DeSoto,FRS,Firesweep,Auto
DESO,DeSoto,POW,Powermaster,Auto
DESP,"Dragon ESP, Ltd.",,,Trailer
DESP,Environmental Service Products,,,Trailer
DEST,"Destiny Inds., Inc.",,,Trailer
DETB,"Detroit Brothers, LLC or Detroit Brothers Custom",,,Motorcycle
DETC,"De Tect, Inc.",,,Trailer
DETE,Detroit Trailer Co.,,,Trailer
DETH,Dethmers Mfg. Co.,,,Trailer
DETH,Kar Kaddy,,,Trailer
DETI,Detroiter Homes,,,Trailer
DETO,DeTomaso,DEA,Deauville,Auto
DETO,DeTomaso,LON,Longchamp,Auto
DETO,DeTomaso,MNA,Mangusta,Auto
DETO,DeTomaso,PTA,Pantera,Auto
DETT,"Detroit Tool, Inc.",,,Trailer
DEUT,Deutz Tractor,,,Farm
DEVI,"Deville Inds., Inc.",,,Trailer
DEVL,Devil Travel Trailer,,,Trailer
DEVN,"Devine's Machine & Design, Inc.",,,Trailer
DEWE,"DEW Eze Mfg., Inc.",,,Farm
DEWE,"DewEze Mfg., Inc.",,,Trailer
DEWL,D & E Welding,,,Trailer
DEXT,"Dexter Trailer, Inc.",,,Trailer
DFHE,DFH Enterprises,,,Trailer
DGEN,"Dodgen Ind., Inc. or Dodgen Mobile Technologies",,,Trucks
DHLE,DHL Enterprises,,,Trailer
DHME,"DHM Enterprises, Inc.",,,Trailer
DHRT,"D Hart Designs, Inc.",,,Trailer
DIAB,Diamond B,,,Trailer
DIAC,Diamond C,,,Trailer
DIAD,Diamond Mobile Home Mfg.,,,Trailer
DIAE,"Diamond E Mfg., LLC",,,Trailer
DIAG,Diamond G Trailer Co.,,,Trailer
DIAG,"Graham Fabrications, Inc.",,,Trailer
DIAM,Diamond G Equipment,,,Trailer
DIAO,Diamond S,,,Trailer
DIAQ,Diamond Quality Trailers,,,Trailer
DIAQ,Diamond Quality Trailers,,,Trailer
DIAR,Diamond Reo,,,Trucks
DIAS,"Diamond Steel Co., Inc.",,,Trailer
DIAS,Diamond-Bilt,,,Trailer
DIAT,Diamond T,,,Trucks
DIAT,Diamond T Trailers,,,Trailer
DIBL,"Diablo Performance, LLC",,,Motorcycle
DICH,Charlevoix Mobile Homes,,,Trailer
DICH,"Dickinson Homes, Inc.",,,Trailer
DICH,Dover Mobile Homes,,,Trailer
DICK,Dickirson Equipment Corp.,,,Trailer
DICO,Dico Co.,,,Trailer
DIDI,Didier Mfg. Co.,,,Trailer
DIER,Dierzen Kewanee Heavy Ind.,,,Trailer
DIGM,"Digmor Equipment & Engineering Co., Inc.",,,Construction
DILL,Dillis Trailer Mfg.,,,Trailer
DILM,Dille & McGuire Mfg. Co.,,,Farm
DILM,Turfmaster,,,Farm
DILO,"Dillon Enterprises, Inc.",,,Trailer
DILY,Dilly,,,Trailer
DIMD,"Diamond Trialers, Inc.",,,Trailer
DIMO,Diamo,,,Motorcycle
DINA,Dina Camiones S.A. de C.V.,,,Trucks
DINL,Dinli,,,Motorcycle
DIPL,Diplomat Motor Home,,,Trucks
DIRT,"Direct Trailer, LP",,,Trailer
DISC,Discover 25 Motor Home,,,Trucks
DITC,"Charles Machine Works, Inc., Ditch Witch Div.",,,Farm
DITC,Ditch Witch,,,Trailer
DITC,Ditch Witch Div.,,,Construction
DITE,Di Tella,,,Auto
DITR,"Diamond Trailers, Inc.",,,Trailer
DIVA,Diva,,,Auto
DIVC,Divco,,,Trucks
DIVE,"Dively Mfg., Co.",,,Trailer
DIVO,Divco-Wayne Inds.,,,Trailer
DIXE,"Dixie Craft Trailers, Inc.",,,Trailer
DIXI,Dixie,,,Trailer
DIXO,"Dixon Inds., Inc.",,,Farm
DJTW,"DJ Trailers & Welding, Inc.",,,Trailer
DKHO,"D.K. Hostetler, Inc.",,,Trailer
DKR,DKR,,,Motorcycle
DKTA,"Dakota Trailer Mfg., Inc.",,,Trailer
DKTI,"D & K Trailers, Inc.",,,Trailer
DKW,DKW,,,Motorcycle
DKW,DKW,102,F102,Auto
DKW,DKW,AUD,Audi,Auto
DKW,DKW,VEM,Vemag,Auto
DLHY,Delahaye,ROD,Roadster,Auto
DLPE,"Deloupe, Inc.",,,Trailer
DLPH,Dolphin Motorhomes,,,Trucks
DLTA,Delta Mfg.,,,Trailer
DLVO,Dulevo Intl.,,,Construction
DM,DM Utility Trailer,,,Trailer
DMBT,DMB Trailers,,,Trailer
DMFT,"D.M.F. Trailer Mfg., Inc.",,,Trailer
DMHC,DMH Co.,,,Trailer
DMHC,Pontiac Chief,,,Trailer
DMI,"DMI, Inc.",,,Trailer
DMI,"DMI, Inc.",,,Farm
DMMF,DM Mfg.,,,Motorcycle
DMP,DMP,,,Motorcycle
DMPM,"Dump-Master, Inc.",,,Trailer
DMPX,Dump Maxx,,,
DMTL,DM Telai,,,Motorcycle
DMVE,"D. M. & V. Enterprises, Inc.",,,Trailer
DNAE,"DNA Enterprises, Inc.",,,
DNAE,"DNA Enterprises, Inc.",,,
DNLW,Down Low Customs,,,Motorcycle
DNPR,DNEPR (AKA - Kiev Motorzykly Zavod),,,Motorcycle
DNPR,Kiev Motorzykly Zavod (DNEPR),,,Motorcycle
DODD,"Dodd Mfg. Co., Inc.",,,Trailer
DODE,Dodge Woodcraft,,,Trailer
DODG,Dodge,,,Trucks
DODG,Dodge,100,A 100 Compact,Auto
DODG,Dodge,330,330 Series,Auto
DODG,Dodge,400,400 Series,Auto
DODG,Dodge,440,440 Series,Auto
DODG,Dodge,600,600,Auto
DODG,Dodge,880,880 Series,Auto
DODG,Dodge,ARI,Aries,Auto
DODG,Dodge,ASP,Aspen,Auto
DODG,Dodge,AVN,Avenger,Auto
DODG,Dodge,CAL,Caliber,Auto
DODG,Dodge,CHA,Charger (and Shelby Charger),Auto
DODG,Dodge,CHL,Challenger,Auto
DODG,Dodge,CLT,Colt (imported),Auto
DODG,Dodge,COM,Compact Sportsman,Auto
DODG,Dodge,CON,Conquest (vehicle year 1986 only),Auto
DODG,Dodge,COR,Coronet,Auto
DODG,Dodge,CVN,Caravan,Auto
DODG,Dodge,DAK,Dakota,Auto
DODG,Dodge,DAR,Dart,Auto
DODG,Dodge,DAY,Daytona,Auto
DODG,Dodge,DEL,Deluxe,Auto
DODG,Dodge,DEM,Demon (Dart),Auto
DODG,Dodge,DIP,Diplomat,Auto
DODG,Dodge,DUR,Durango,Auto
DODG,Dodge,DYN,Dynasty,Auto
DODG,Dodge,FLS,Fleet Special,Auto
DODG,Dodge,INT,Intrepid,Auto
DODG,Dodge,JNY,Journey,Auto
DODG,Dodge,LAN,Lancer,Auto
DODG,Dodge,MAG,Magnum,Auto
DODG,Dodge,MEA,Meadowbrook,Auto
DODG,Dodge,MIR,Mirada,Auto
DODG,Dodge,MON,Monaco,Auto
DODG,Dodge,NEO,Neon,Auto
DODG,Dodge,NEO,SX 2.0 (Neon),Auto
DODG,Dodge,NEO,SRT-4 (Neon),Auto
DODG,Dodge,NIT,Nitro,Auto
DODG,Dodge,OMI,Omni (also 024),Auto
DODG,Dodge,PHO,Phoenix,Auto
DODG,Dodge,PIO,Pioneer,Auto
DODG,Dodge,POL,Polara,Auto
DODG,Dodge,PRM,Power Ram,Auto
DODG,Dodge,R15,Ram 1500 (pickup),Auto
DODG,Dodge,R25,Ram 2500 (pickup),Auto
DODG,Dodge,R35,Ram 3500 (pickup),Auto
DODG,Dodge,RCH,Ram Charger,Auto
DODG,Dodge,RDR,Raider,Auto
DODG,Dodge,ROY,Royal,Auto
DODG,Dodge,SEN,Seneca,Auto
DODG,Dodge,SHA,Shadow,Auto
DODG,Dodge,SPI,Spirit,Auto
DODG,Dodge,SPR,Sprinter,Auto
DODG,Dodge,STA,Stratus,Auto
DODG,Dodge,STE,Stealth,Auto
DODG,Dodge,STR,St. Regis,Auto
DODG,Dodge,SWI,Swinger (Dart),Auto
DODG,Dodge,TRD,Tradesman,Auto
DODG,Dodge,V15,Ram 1500 (van),Auto
DODG,Dodge,V25,Ram 2500 (van),Auto
DODG,Dodge,V35,Ram 3500 (van),Auto
DODG,Dodge,VIP,Viper,Auto
DODG,Dodge,WAY,Wayfarer,Auto
DOEP,"Doepker Inds., Ltd.",,,Trailer
DOLA,Dolan Corp.,,,Trailer
DOLI,Dolphin Homes,,,Trailer
DOLI,Doral,,,Trailer
DOMI,"Dominion Road Machinery Co., Ltd.",,,Construction
DOMO,"DO-MOR Equipment, Inc.",,,Construction
DONA,"Don-A-Bell Homes, Inc.",,,Trailer
DONF,"Dongfang Lingyun Vehicle Mode Co., Ltd. or Ningbo Dongfang Lingyun Vehicle Mode Co., Ltd.",,,Motorcycle
DONG,Dong Feng (East Wind),,,Auto
DONH,"Donhal, Inc.",,,Trailer
DONL,Donnell Boat Trailer,,,Trailer
DONM,Don May Enterprises,,,Trailer
DONS,Dons Boat Trailer,,,Trailer
DONU,"Donahue Corp., The",,,Trailer
DOO,Doo Snowmobile Trailer,,,Trailer
DOOL,Doolittle,,,Trailer
DOON,Doonan Trailer Corp.,,,Trailer
DOOS,"Doosan International USA, Inc. or Doosan Infracore PO",,,Construction
DORI,"Dormi Inds., Inc.",,,Trailer
DORS,"Dorsey Trailers, Inc.",,,Trailer
DORT,Dort (antique vehicles),,,Auto
DOT,Dot,,,Motorcycle
DOUB,Double Shuffle Mobile Home,,,Trailer
DOUD,"Double D Distributors, Inc.",,,Trailer
DOUE,Double E Trailer Mfg.,,,Trailer
DOUG,"Douglas Homes, Inc.",,,Trailer
DOUJ,Double J Horse Trailer,,,Trailer
DOUL,Double L Trailer Mfg.,,,Trailer
DOUM,Douglas,,,Motorcycle
DOUR,Double R Trailer Mfg.,,,Trailer
DOWE,Downer Inds.,,,Trailer
DOWH,Downey Sheet Metal Shop,,,Trailer
DPWC,D & P Welding Co.,,,Trailer
DRAG,Drag Master Utility Trailer,,,Trailer
DRAK,Drake Truck Bodies,,,Trailer
DRBI,Derbi or Nacional Motors S.A.,,,Motorcycle
DRCH,Dream Coach Trailer,,,Trailer
DRCO,"Duraco Ind., Inc.",,,Trailer
DRDN,"Dardon, Inc.",,,Trailer
DREA,Dreamer,,,Trucks
DREA,Dreamer,,,Trailer
DREM,Dreamer (for reference only; see DREA),,,
DRES,"Dresser Inds., Inc.",,,Trailer
DREW,Drewes Engineering (Electric Vehicle),,,Auto
DRGG,"Draggin Custom Cycles, LLC",,,Motorcycle
DRGL,Draglite Trailer,,,Trailer
DRIE,Drifter Mfg. Co.,,,Trailer
DRIF,Driftwood Homes Corp.,,,Trailer
DRII,"DRI Industries, Inc.",,,Trailer
DRIV,Drive On Trailer Mfg.,,,Trailer
DRML,Dreamliner Trailer,,,Trailer
DROP,"Dropbox, Inc.",,,Trailer
DROT,Drott Mfg. Co.,,,Construction
DROW,"Death Row Motorcycles, LLC",,,Motorcycle
DRPT,"Drop Tail Trailers, LLC",,,Trailer
DRRT,"DRR ATVs (Access Motor Co., Ltd.)",,,Motorcycle
DRSN,"Dressen Custom Trailers, Inc.",,,Trailer
DRTI,Doretti,,,Auto
DRYD,"Drydock Trailer, Inc.",,,Trailer
DSCH,Dresch Motorcycles,,,Motorcycle
DSGN,"Design Concepts, Inc.",,,Trailer
DSHE,DSH Enterprises,,,Trailer
DSPD,"Desperado Motor Racing & Motorcycles, Inc.",,,Motorcycle
DSSC,Super Cooker,,,Trailer
DSTB,D & S Trailer Builders,,,Trailer
DSWM,"DSW Mfg., Co.",,,Trailer
DSWS,DWS Storeway Trailer,,,Trailer
DTCH,"Dutch Park, Inc.",,,Trailer
DTPM,"DTP Muscle Custom Choppers or DTP Muscle, LLC",,,Motorcycle
DTRL,Detrail Trailer,,,Trailer
DTRV,"Double Tree RV, LLC",,,Trailer
DUAE,Dual Evans Corp.,,,Trailer
DUAL,"Dual-Wide, Inc.",,,Trailer
DUAM,Dual Mfg. Co.,,,Farm
DUCA,Ducati,,,Motorcycle
DUDE,Dude Trailer,,,Trailer
DUEL,Duel,,,Auto
DUES,Duesenberg,,,Auto
DUGA,"Dugan Trailer, Inc.",,,Trailer
DUGO,Dusgo Trailer,,,Trailer
DUKE,Duke Mobile Homes,,,Trailer
DUNB,Dunbar Kapple,,,Trailer
DUNH,"Dunham Mfg. Co., Inc.",,,Trailer
DUNL,"Dunham Lehr, Inc.",,,Farm
DUNR,"Dun-Rite Mfg., LLC",,,Trailer
DUNT,"Dunright Trailer Mfg., Inc,",,,Trailer
DUPA,Dupage Coach Co.,,,Trailer
DUPL,Duplex Truck Div.,,,Trucks
DUPN,"Dupont Service Center, Inc.",,,Trucks
DUPN,"Dupont Service Center, Inc.",,,Trailer
DUPX,Duplex Mill & Mfg. Co.,,,Trailer
DURA,Durant,,,Auto
DURB,Durobilt,,,Trailer
DURC,Durcholz Trailer,,,Trailer
DURE,Dura-Craft Mobile Homes,,,Trailer
DURI,"Durabilt Inds., Inc.",,,Farm
DURO,Duro Mobile Homes,,,Trailer
DUST,Duster Camper II,,,Trailer
DUTC,Dutchman Mfg.,,,Trailer
DUTE,Dutec Trailer,,,Trailer
DUTT,"Dutton-Lainson Co., Mfg. Div.",,,Trailer
DUVL,"Duvall Equipment, LLC",,,Trailer
DVGI,Dymac Vehicle Group or Electric Vehicle International,,,Auto
DVGI,"Dymac Vehicle Group or Electric Vehicles International (""Verde"" Scooters)",,,Motorcycle
DVGI,"Electric Vehicles International or Dymac Vehicle Group (""Verde"" Scooters)",,,Motorcycle
DWNS,Downs Clark Trailer,,,Trailer
DWTE,Down (2) Earth Trailers,,,Trailer
DXIE,Dixie Chopper,,,Farm
DYCY,Dynacycle,,,Motorcycle
DYEC,Dynasty Electric Car Corp.,,,Auto
DYMC,"Dynamic Inds., Inc.",,,Construction
DYMX,Dynamax Corp.,,,Trucks
DYNA,Dynahoe Truck,,,Trucks
DYNC,Dynacruiser Mount Trailer,,,Trailer
DYNE,"Dynes Enterprises, LLC",,,Trailer
DYNF,Dynamite Mfg. (dba-Man Cave RV),,,Trailer
DYNG,"Dayang/Dayang North America aka Luoyang Northern EK-Chor Motorcycle Co., Ltd.",,,Motorcycle
DYNG,"Luoyang Northern EK-Chor Motorcycle Co., Ltd.",,,Motorcycle
DYNI,"Dynamic Mfg., Corp.",,,Farm
DYNM,Dynamark Tractor Mower,,,Farm
DYNP,"Dynapac, Inc.",,,
DYNS,Dynamics Corp. of America,,,Farm
DYNV,"Dyna-Vac Equip., Inc. (Jet-N-Vac)",,,Truck
DYNV,"Dyna-Vac Equipment, Inc. (Jet-N-Vac)",,,Trailer
DYNV,"Dyna-Vac Equipment, Inc. (Jet-N-Vac)",,,Trailer
DYNV,"Dyna-Vac Equipment, Inc. (Jet-N-Vac)",,,Construction
DYNW,Dynaweld Trailer,,,Trailer
DYST,"Dynastar/Dynastar Motorsports, Inc.",,,Trailer
DYTC,Daytec Center,,,Motorcycle
EACR,"Eagle Crusher Co., Inc.",,,Construction
EADU,East Dump Trailer,,,Trailer
EAGB,Eager Beaver Trailer,,,Trailer
EAGC,Eagle Custom Coach Mfg. Co.,,,Trailer
EAGE,Eagle Equipment,,,Trailer
EAGI,"Eagle Intl., Inc.",,,Trucks
EAGL,"Eagle Trailer Mfg., Inc.",,,Trailer
EAGR,Eagle River Homes,,,Trailer
EALO,Easy Loader Trailer,,,Trailer
EAMM,"EAM Mfg. (Engine & Accessory, Inc.) Garsite, Inc.",,,Trailer
EARI,Easy Rider Trailer,,,Trailer
EASD,Eastside Machine Co.,,,Trailer
EASE,"Eastern-Bilt, Inc.",,,Trailer
EASI,"Energy Absorption Systems, Inc.",,,Construction
EASM,Easom Engineering,,,Trailer
EAST,Easton Car & Construction,,,Trailer
EASU,East Se Trailer,,,Trailer
EASV,"Easy Vehicle Co., Ltd or Zhejiang Yongkang Easy Vehicle Co., Ltd.",,,Motorcycle
EASW,Easy Traveler Trailer,,,Trailer
EASY,Easyown Mfg. Co.,,,Trailer
EATD,"Eaton Drilling Co., Inc. (dba-Eaton Fabrication Co.)",,,Trailer
EATN,"East Tennessee Trailers, LLC",,,Trailer
EATO,Eaton Corp.,,,Construction
EATO,"Yale, Material Handling Div.",,,Construction
EATR,"Easy Trail, Inc.",,,Trailer
EATW,Easytow Boat Trailers,,,Trailer
EBON,Ebony Line Products,,,Trailer
EBRR,EBR (Erik Buell) (New 2009 – Not allowed to use “Bueil”),,,Motorcycle
EBUS,E-Bus,,,Trucks
ECHE,Echelon Motorcycles,,,Motorcycle
ECHO,"Echo Mfg., LLC",,,Trailer
ECHO,"Echo Mfg., LLC",,,Trailer
ECHT,"Echo Trailers, LLC",,,Trailer
ECHT,"Echo Trailers, LLC",,,Trailer
ECLI,"Eclipse Recreational Vehicles, Inc.",,,Trailer
ECLN,Econoline Utility Trailer,,,Trailer
ECLP,"Eclipse Aluminum Trailers, LLC",,,Trailer
ECMI,"Electric City Motors, North America, Inc.",,,Trucks
ECMI,"Electric City Motors, North America, Inc.",,,Auto
ECMY,Economy Camper Co.,,,Trailer
ECNO,"Econoline Trailers, Inc.",,,Trailer
ECOB,Eco-Bike Elec Motorcycle,,,Motorcycle
ECOF,Econo Flo Bulk Service,,,Trailer
ECOH,Ecohl Trailers,,,Trailer
ECON,Economy-Wisconsin,,,Trucks
ECSA,Ecsa,,,Trailer
ECTA,"Ecstasy Trikes of Allentown, Inc.",,,Motorcycle
EDEY,Dovekie,,,Trailer
EDEY,Edey & Duff,,,Trailer
EDMX,"Endura, Max, LLC",,,Trailer
EDSE,Edsel,CIT,Citation,Auto
EDSE,Edsel,COR,Corsair,Auto
EDSE,Edsel,PAC,Pacer,Auto
EDSE,Edsel,RAN,Ranger,Auto
EDSE,Edsel,VIL,Villager,Auto
EDWA,Edwards Trailer,,,Trailer
EDWN,Edwins,,,Motorcycle
EEST,Ee Smith Trailer Sales,,,Trailer
EEVM,"Suzhou Eagle Electric Vehicle Mfg. Co., Ltd.",,,Auto
EEZY,EE-ZY Trailer Co.,,,Trailer
EGBD,"Eagle Body, Inc.",,,Trailer
EGGC,Egg Camper,,,Trailer
EGIL,Eagle,MED,Medallion (vehicle year 1988),Auto
EGIL,Eagle,PRE,Premier,Auto
EGIL,Eagle,SUM,Summit,Auto
EGIL,Eagle,TAL,Talon,Auto
EGIL,Eagle,VIS,Vision,Auto
EGLE, Eagle,,,Motorcycle
EGLM,Eagle Mfg.,,,Trailer
EGLR,"Eaglerock Trailers, Inc.",,,Trailer
EGOV,"E GO Vehicles, LLC",,,Motorcycle
EHMC,EHM Mfg. Co.,,,Trailer
EIDA,Eidal Intl. Corp.,,,Trailer
EIDL, Eidal Intl. Corp.,,,Construction
EIGH,Eight Point,,,Trailer
EJAY,El-Jay Div. of Iowa Mfg. Co.,,,Construction
EKBR,"Erik Buell Racing, LLC",,,EKBR
EKCH,Shanghai EK-Chor Motorcycle Co.,,,Motorcycle
ELCA,"Elcar Mobile Homes, Inc.",,,Trailer
ELCO,Elcona Homes Corp.,,,Trailer
ELCO,Memory,,,Trailer
ELCT,Electric Wheel Co.,,,Trailer
ELCY,Electric Cycle,,,Motorcycle
ELDC,"El Do-Craft Boat Co., Inc.",,,Trailer
ELDE,Elder Trailer & Body,,,Trailer
ELDN,"El Dorado National Subsidiary of THOR Ind. Co.",,,Truck
ELDO,"El Dorado Intl., Inc.",,,Trucks
ELDO,"El Dorado Mfg., Ltd.",,,Trailer
ELEC,Elec-Trac,,,Trucks
ELET,Electra Vacation Home,,,Trucks
ELGI,Elgin,,,Trailer
ELGN,Elgin Sweeper Co.,,,Trucks
ELIB,"Eli Bridge Co., Inc.",,,Trailer
ELIT,Elite Mfg.,,,Trailer
ELJA,Eljay Mfg. Co.,,,Trailer
ELKA,"Elk Automotive, Inc.",,,Trailer
ELKC,Elkhart Coach,,,Trucks
ELKC,Elkhart Coach,,,Trailer
ELKH,Elkhart Mfg. Co.,,,Trailer
ELKR,Elk River Corp.,,,Trailer
ELLE,Elgin-Leach Corp.,,,Construction
ELLI,Elliott Mobile Home Mfg.,,,Trailer
ELLS,Ellis Trailer Co.,,,Trailer
ELLT,"Elliott Machine Works, LLC",,,Trailer
ELMA,"Ellis Mfg. Co., Inc.",,,Farm
ELMS,"Electric Motorsport, Inc.",,,Motorcycle
ELTC,Elete Trailer Co.,,,Trailer
ELTS,Elliott Trailer Sales,,,Trailer
ELTS,Elliott Trailer Sales,,,Trailer
ELVA,Elva,,,Auto
ELVC,"Electric Vehicle Corp. (mfrs. of replicas, Minneapolis, MN)",,,Auto
ELVT,Electric Vehicle Technologies,,,Motorcycle
ELWN,"Easy Lawn, Inc.",,,Trailer
EMAX,E-Max/GGC-Global Generation Cult GMBH,,,Motorcycle
EMBA,Embassy Homes,,,Trailer
EMBB,Embassy Mobile Homes,,,Trailer
EMCO,Emmco Trailer,,,Trailer
EMER,"Emerson Trailers, Inc.",,,Trailer
